General
	Part Number	MIM2_5-A200
	Part Name	MIM2_5-A200 v9
	Description
	Material Name	(Various)

Manage
	Item Number
	Lifecycle
	Revision
	State
	Change Order

Physical
	Mass	654.78 g
	Volume	2.366E+05 mm^3
	Density	0.003 g / mm^3
	Area	1.296E+05 mm^2
	World X,Y,Z	0.00 mm, 0.00 mm, 0.00 mm
	Center of Mass	0.014 mm, -6.208 mm, -145.804 mm
	Bounding Box
		Length	69.00 mm
		Width	99.30 mm
		Height	240.141 mm
	Moment of Inertia at Center of Mass   (g mm^2)
		Ixx	3.085E+06
		Ixy	101.224
		Ixz	-2009.445
		Iyx	101.224
		Iyy	2.931E+06
		Iyz	-4.493E+05
		Izx	-2009.445
		Izy	-4.493E+05
		Izz	4.866E+05
	Moment of Inertia at Origin   (g mm^2)
		Ixx	1.703E+07
		Ixy	156.52
		Ixz	-710.843
		Iyx	156.52
		Iyy	1.685E+07
		Iyz	-1.042E+06
		Izx	-710.843
		Izy	-1.042E+06
		Izz	5.118E+05

