General
	Part Number	MIM2_5-A500
	Part Name	MIM2_5-A500 v4
	Description
	Material Name	(Various)

Manage
	Item Number
	Lifecycle
	Revision
	State	Working
	Change Order

Physical
	Mass	654.78 g
	Volume	2.366E+05 mm^3
	Density	0.003 g / mm^3
	Area	1.296E+05 mm^2
	World X,Y,Z	0.00 mm, 0.00 mm, 0.00 mm
	Center of Mass	-0.014 mm, 6.208 mm, -145.726 mm
	Bounding Box
		Length	69.00 mm
		Width	99.30 mm
		Height	240.141 mm
	Moment of Inertia at Center of Mass   (g mm^2)
		Ixx	3.081E+06
		Ixy	98.24
		Ixz	1991.635
		Iyx	98.24
		Iyy	2.928E+06
		Iyz	4.490E+05
		Izx	1991.635
		Izy	4.490E+05
		Izz	4.866E+05
	Moment of Inertia at Origin   (g mm^2)
		Ixx	1.701E+07
		Ixy	156.467
		Ixz	624.928
		Iyx	156.467
		Iyy	1.683E+07
		Iyz	1.041E+06
		Izx	624.928
		Izy	1.041E+06
		Izz	5.118E+05

